node	base_color	fine_block	vote_frac	n_votes	on_ref
123	.	.	0	0	0
124	.	.	0	0	1
125	.	.	0	0	1
126	.	.	0	0	0
127	.	.	0	0	1
128	.	.	0	0	0
129	.	.	0	0	1
130	.	.	0	0	1
131	.	.	0	0	0
132	.	.	0	0	1
133	.	.	0	0	1
134	.	.	0	0	0
135	.	.	0	0	1
136	.	.	0	0	1
137	.	.	0	0	0
138	.	.	0	0	1
139	.	.	0	0	1
140	.	.	0	0	1
141	.	.	0	0	1
142	.	.	0	0	0
143	.	.	0	0	1
144	.	.	0	0	1
145	.	.	0	0	1
146	.	.	0	0	1
147	.	.	0	0	0
148	.	.	0	0	1
149	.	.	0	0	1
150	.	.	0	0	0
151	.	.	0	0	1
152	.	.	0	0	1
153	.	.	0	0	0
154	.	.	0	0	1
155	.	.	0	0	1
156	.	.	0	0	0
157	.	.	0	0	1
158	.	.	0	0	1
159	.	.	0	0	0
160	.	.	0	0	1
161	.	.	0	0	1
162	.	.	0	0	0
163	.	.	0	0	1
164	.	.	0	0	1
165	.	.	0	0	0
166	.	.	0	0	0
167	.	.	0	0	1
168	.	.	0	0	1
169	.	.	0	0	1
170	.	.	0	0	0
171	.	.	0	0	1
172	.	.	0	0	1
173	.	.	0	0	0
174	.	.	0	0	1
175	.	.	0	0	1
176	.	.	0	0	0
177	.	.	0	0	1
178	.	.	0	0	1
179	.	.	0	0	0
180	.	.	0	0	1
181	.	.	0	0	0
182	.	.	0	0	1
183	.	.	0	0	1
184	.	.	0	0	0
185	.	.	0	0	1
186	.	.	0	0	0
187	.	.	0	0	1
188	.	.	0	0	1
189	.	.	0	0	1
190	.	.	0	0	0
191	.	.	0	0	1
192	.	.	0	0	1
193	.	.	0	0	0
194	.	.	0	0	1
195	.	.	0	0	1
196	.	.	0	0	1
197	.	.	0	0	1
198	.	.	0	0	0
199	.	.	0	0	1
200	.	.	0	0	0
201	.	.	0	0	1
202	.	.	0	0	1
203	.	.	0	0	0
204	.	.	0	0	1
205	.	.	0	0	1
206	.	.	0	0	0
207	.	.	0	0	1
208	.	.	0	0	0
209	.	.	0	0	1
210	.	.	0	0	1
211	.	.	0	0	0
212	.	.	0	0	1
213	.	.	0	0	1
214	.	.	0	0	1
215	.	.	0	0	0
216	.	.	0	0	1
217	.	.	0	0	0
218	.	.	0	0	1
219	.	.	0	0	1
220	.	.	0	0	1
221	.	.	0	0	0
222	.	.	0	0	1
223	.	.	0	0	1
224	.	.	0	0	0
225	.	.	0	0	1
226	.	.	0	0	1
227	.	.	0	0	0
228	.	.	0	0	1
229	.	.	0	0	1
230	.	.	0	0	0
231	.	.	0	0	1
232	.	.	0	0	1
233	.	.	0	0	0
234	.	.	0	0	1
235	.	.	0	0	1
236	.	.	0	0	0
237	.	.	0	0	1
238	.	.	0	0	0
239	.	.	0	0	1
240	.	.	0	0	0
241	.	.	0	0	1
242	.	.	0	0	1
243	.	.	0	0	0
244	.	.	0	0	1
245	.	.	0	0	0
246	.	.	0	0	1
247	.	.	0	0	1
248	.	.	0	0	0
249	.	.	0	0	1
250	.	.	0	0	1
251	.	.	0	0	0
252	.	.	0	0	1
253	.	.	0	0	1
254	.	.	0	0	0
255	.	.	0	0	1
256	.	.	0	0	1
257	.	.	0	0	0
258	.	.	0	0	1
259	.	.	0	0	1
260	.	.	0	0	0
261	.	.	0	0	1
262	.	.	0	0	0
263	.	.	0	0	1
264	.	.	0	0	1
265	.	.	0	0	1
266	.	.	0	0	0
267	.	.	0	0	1
268	.	.	0	0	1
269	.	.	0	0	0
270	.	.	0	0	1
271	.	.	0	0	1
272	.	.	0	0	0
273	.	.	0	0	1
274	.	.	0	0	0
275	.	.	0	0	0
276	.	.	0	0	0
277	.	.	0	0	1
278	.	.	0	0	1
279	.	.	0	0	0
280	.	.	0	0	1
281	.	.	0	0	1
282	.	.	0	0	0
283	.	.	0	0	1
284	.	.	0	0	1
285	.	.	0	0	0
286	.	.	0	0	1
287	.	.	0	0	1
288	.	.	0	0	0
289	.	.	0	0	1
290	.	.	0	0	0
291	.	.	0	0	1
292	.	.	0	0	1
293	.	.	0	0	1
294	.	.	0	0	0
295	.	.	0	0	1
296	.	.	0	0	1
297	.	.	0	0	0
298	.	.	0	0	1
299	.	.	0	0	1
300	.	.	0	0	0
301	.	.	0	0	1
302	.	.	0	0	1
303	.	.	0	0	0
304	.	.	0	0	1
305	.	.	0	0	0
306	.	.	0	0	1
307	.	.	0	0	1
308	.	.	0	0	0
309	.	.	0	0	1
310	.	.	0	0	1
311	.	.	0	0	0
312	.	.	0	0	1
313	.	.	0	0	1
314	.	.	0	0	0
315	.	.	0	0	1
316	.	.	0	0	1
317	.	.	0	0	0
318	.	.	0	0	1
319	.	.	0	0	1
320	.	.	0	0	0
321	.	.	0	0	1
322	.	.	0	0	1
323	.	.	0	0	0
324	.	.	0	0	1
325	.	.	0	0	0
326	.	.	0	0	1
327	.	.	0	0	1
328	.	.	0	0	1
329	.	.	0	0	0
330	.	.	0	0	1
331	.	.	0	0	1
332	.	.	0	0	0
333	.	.	0	0	0
334	.	.	0	0	1
335	.	.	0	0	1
336	.	.	0	0	0
337	.	.	0	0	1
338	.	.	0	0	1
339	.	.	0	0	0
340	.	.	0	0	1
341	.	.	0	0	1
342	.	.	0	0	0
343	.	.	0	0	1
344	.	.	0	0	1
345	.	.	0	0	0
346	.	.	0	0	1
347	.	.	0	0	0
348	.	.	0	0	1
349	.	.	0	0	1
350	.	.	0	0	0
351	.	.	0	0	1
352	.	.	0	0	1
353	.	.	0	0	0
354	.	.	0	0	1
355	.	.	0	0	1
356	.	.	0	0	0
357	.	.	0	0	1
358	.	.	0	0	1
359	.	.	0	0	0
360	.	.	0	0	1
361	.	.	0	0	0
362	.	.	0	0	1
363	.	.	0	0	1
364	.	.	0	0	0
365	.	.	0	0	1
366	.	.	0	0	0
367	.	.	0	0	1
368	.	.	0	0	1
369	.	.	0	0	0
370	.	.	0	0	1
371	.	.	0	0	1
372	.	.	0	0	0
373	.	.	0	0	1
374	.	.	0	0	0
375	.	.	0	0	1
376	.	.	0	0	1
377	.	.	0	0	1
378	.	.	0	0	0
379	.	.	0	0	1
380	.	.	0	0	1
381	.	.	0	0	0
382	.	.	0	0	1
383	.	.	0	0	1
384	.	.	0	0	0
385	.	.	0	0	1
386	.	.	0	0	1
387	.	.	0	0	0
388	.	.	0	0	1
389	.	.	0	0	1
390	.	.	0	0	0
391	.	.	0	0	1
392	.	.	0	0	1
393	.	.	0	0	0
394	.	.	0	0	1
395	.	.	0	0	1
396	.	.	0	0	0
397	.	.	0	0	1
398	.	.	0	0	1
399	.	.	0	0	0
400	.	.	0	0	1
401	.	.	0	0	1
402	.	.	0	0	0
403	.	.	0	0	1
404	.	.	0	0	1
405	.	.	0	0	0
406	.	.	0	0	1
407	.	.	0	0	1
408	.	.	0	0	0
409	.	.	0	0	1
410	.	.	0	0	1
411	.	.	0	0	0
412	.	.	0	0	0
413	.	.	0	0	1
414	.	.	0	0	1
415	.	.	0	0	1
416	.	.	0	0	0
417	.	.	0	0	1
418	.	.	0	0	1
419	.	.	0	0	0
420	.	.	0	0	1
421	.	.	0	0	1
422	.	.	0	0	0
423	.	.	0	0	1
424	.	.	0	0	0
425	.	.	0	0	1
426	.	.	0	0	1
427	.	.	0	0	1
428	.	.	0	0	0
429	.	.	0	0	1
430	.	.	0	0	0
431	.	.	0	0	1
432	.	.	0	0	1
433	.	.	0	0	0
434	.	.	0	0	1
435	.	.	0	0	1
436	.	.	0	0	1
437	.	.	0	0	0
438	.	.	0	0	1
439	.	.	0	0	1
440	.	.	0	0	0
441	.	.	0	0	1
442	.	.	0	0	1
443	.	.	0	0	0
444	.	.	0	0	1
445	.	.	0	0	1
446	.	.	0	0	0
447	.	.	0	0	1
448	.	.	0	0	1
449	.	.	0	0	0
450	.	.	0	0	1
451	.	.	0	0	1
452	.	.	0	0	0
453	.	.	0	0	0
454	.	.	0	0	1
455	.	.	0	0	1
456	.	.	0	0	0
457	.	.	0	0	1
458	.	.	0	0	0
459	.	.	0	0	1
460	.	.	0	0	1
461	.	.	0	0	1
462	.	.	0	0	1
463	.	.	0	0	0
464	.	.	0	0	1
465	.	.	0	0	1
466	.	.	0	0	0
467	.	.	0	0	1
468	.	.	0	0	1
469	.	.	0	0	0
470	.	.	0	0	1
471	.	.	0	0	1
472	.	.	0	0	0
473	.	.	0	0	1
474	.	.	0	0	1
475	.	.	0	0	0
476	.	.	0	0	1
477	.	.	0	0	1
478	.	.	0	0	0
479	.	.	0	0	1
480	.	.	0	0	1
481	.	.	0	0	0
482	.	.	0	0	1
483	.	.	0	0	1
484	.	.	0	0	0
485	.	.	0	0	1
486	.	.	0	0	0
487	.	.	0	0	1
488	.	.	0	0	1
489	.	.	0	0	1
490	.	.	0	0	0
491	.	.	0	0	1
492	.	.	0	0	0
493	.	.	0	0	1
494	.	.	0	0	1
495	.	.	0	0	0
496	.	.	0	0	1
497	.	.	0	0	1
498	.	.	0	0	1
499	.	.	0	0	0
500	.	.	0	0	1
501	.	.	0	0	0
502	.	.	0	0	1
503	.	.	0	0	1
504	.	.	0	0	1
505	.	.	0	0	0
506	.	.	0	0	0
507	.	.	0	0	1
508	.	.	0	0	1
509	.	.	0	0	1
510	.	.	0	0	0
511	.	.	0	0	1
512	.	.	0	0	1
513	.	.	0	0	0
514	.	.	0	0	1
515	.	.	0	0	1
516	.	.	0	0	0
517	.	.	0	0	1
518	.	.	0	0	1
519	.	.	0	0	0
520	.	.	0	0	1
521	.	.	0	0	1
522	.	.	0	0	0
523	.	.	0	0	1
524	.	.	0	0	1
525	.	.	0	0	0
526	.	.	0	0	1
527	.	.	0	0	1
528	.	.	0	0	0
529	.	.	0	0	1
530	.	.	0	0	0
531	.	.	0	0	1
532	.	.	0	0	1
533	.	.	0	0	1
534	.	.	0	0	0
535	.	.	0	0	1
536	.	.	0	0	1
537	.	.	0	0	0
538	.	.	0	0	1
539	.	.	0	0	1
540	.	.	0	0	0
541	.	.	0	0	1
542	.	.	0	0	1
543	.	.	0	0	0
544	.	.	0	0	1
545	.	.	0	0	0
546	.	.	0	0	1
547	.	.	0	0	1
548	.	.	0	0	0
549	.	.	0	0	1
550	.	.	0	0	1
551	.	.	0	0	0
552	.	.	0	0	1
553	.	.	0	0	1
554	.	.	0	0	0
555	.	.	0	0	1
556	.	.	0	0	1
557	.	.	0	0	0
558	.	.	0	0	1
559	.	.	0	0	1
560	.	.	0	0	1
561	.	.	0	0	1
562	.	.	0	0	0
563	.	.	0	0	1
564	O	orange_b	1.000	574	1
565	O	orange_b	1.000	22	0
566	O	orange_b	1.000	917	1
567	O	orange_b	1.000	961	1
568	O	orange_b	1.000	887	1
569	O	orange_b	1.000	1	0
570	O	orange_b	0.739	1297	1
571	O	orange_b	0.740	1298	1
572	O	orange_b	0.748	1387	1
573	O	orange_b	0.631	946	1
574	O	orange_b	1.000	441	1
575	O	orange_b	0.748	1387	1
576	O	orange_b	0.717	1234	1
577	O	orange_b	1.000	153	1
578	O	orange_b	0.748	1387	1
579	O	orange_b	1.000	54	0
580	O	orange_b	1.000	1333	1
581	O	orange_b	1.000	1387	1
582	O	orange_b	1.000	1381	1
583	O	orange_b	1.000	6	0
584	O	orange_b	1.000	1387	1
585	O	orange_b	1.000	65	0
586	O	orange_b	1.000	1322	1
587	O	orange_b	1.000	1387	1
588	O	orange_b	1.000	1241	1
589	O	orange_b	1.000	727	1
590	O	orange_b	1.000	514	0
591	O	orange_b	1.000	1387	1
592	O	orange_b	1.000	1242	1
593	O	orange_b	1.000	145	1
594	O	orange_b	1.000	1385	1
595	O	orange_b	1.000	2	0
596	O	orange_b	1.000	1387	1
597	O	orange_b	1.000	1384	1
598	O	orange_b	1.000	1355	1
599	O	orange_b	1.000	1358	1
600	O	orange_b	1.000	1387	1
601	O	orange_b	1.000	1386	1
602	O	orange_b	1.000	1	0
603	O	orange_b	1.000	1387	1
604	O	orange_b	1.000	1272	1
605	O	orange_b	1.000	115	1
606	O	orange_b	1.000	1387	1
607	O	orange_b	1.000	1272	1
608	O	orange_b	1.000	115	1
609	O	orange_b	1.000	1387	1
610	O	orange_b	1.000	1365	1
611	O	orange_b	1.000	22	0
612	O	orange_b	1.000	1387	1
613	O	orange_b	1.000	1315	1
614	O	orange_b	1.000	72	1
615	O	orange_b	1.000	1387	1
616	O	orange_b	1.000	29	0
617	O	orange_b	1.000	1357	1
618	O	orange_b	1.000	1	0
619	O	orange_b	1.000	1387	1
620	O	orange_b	1.000	1382	1
621	O	orange_b	1.000	5	0
622	O	orange_b	1.000	1387	1
623	O	orange_b	1.000	1383	1
624	O	orange_b	1.000	4	0
625	O	orange_b	1.000	923	1
626	O	orange_b	1.000	464	1
627	O	orange_b	1.000	1387	1
628	O	orange_b	1.000	1386	1
629	O	orange_b	1.000	1	0
630	O	orange_b	1.000	1386	1
631	O	orange_b	1.000	1	0
632	O	orange_b	1.000	1446	1
633	O	orange_b	1.000	58	0
634	O	orange_b	1.000	1	0
635	O	orange_b	1.000	1388	1
636	O	orange_b	1.000	1677	1
637	O	orange_b	1.000	1387	1
638	O	orange_b	1.000	62	0
639	O	orange_b	1.000	1379	1
640	O	orange_b	1.000	802	1
641	O	orange_b	1.000	510	1
642	O	orange_b	1.000	1312	1
643	O	orange_b	1.000	2	0
644	O	orange_b	1.000	932	1
645	O	orange_b	1.000	2	0
646	O	orange_b	1.000	248	0
647	O	orange_b	1.000	1	0
648	O	orange_b	1.000	560	0
649	O	orange_b	1.000	35	0
650	O	orange_b	1.000	309	0
651	O	orange_b	1.000	347	0
652	O	orange_b	1.000	348	0
653	O	orange_b	1.000	347	0
654	O	orange_b	1.000	1	0
655	O	orange_b	1.000	1	0
656	O	orange_b	1.000	348	0
657	O	orange_b	1.000	2	0
658	O	orange_b	1.000	1	0
659	O	orange_b	1.000	2	0
660	O	orange_b	1.000	1	0
661	O	orange_b	1.000	2	0
662	O	orange_b	1.000	1	0
663	O	orange_b	1.000	697	0
664	O	orange_b	1.000	665	0
665	O	orange_b	1.000	349	0
666	O	orange_b	1.000	1	0
667	O	orange_b	1.000	350	0
668	O	orange_b	1.000	1	0
669	O	orange_b	1.000	349	0
670	O	orange_b	1.000	312	0
671	O	orange_b	1.000	37	0
672	O	orange_b	1.000	349	0
673	O	orange_b	1.000	348	0
674	O	orange_b	1.000	349	0
675	O	orange_b	1.000	942	1
676	O	orange_b	1.000	2067	1
677	O	orange_b	1.000	2068	1
678	O	orange_b	1.000	2060	1
679	O	orange_b	1.000	1030	1
680	O	orange_b	1.000	358	0
681	O	orange_b	1.000	350	0
682	O	orange_b	1.000	348	0
683	O	orange_b	1.000	1038	1
684	O	orange_b	1.000	1038	1
685	O	orange_b	1.000	1030	1
686	O	orange_b	1.000	1017	1
687	O	orange_b	1.000	21	0
688	O	orange_b	1.000	1030	1
689	O	orange_b	1.000	1008	1
690	O	orange_b	1.000	1009	1
691	O	orange_b	1.000	1031	1
692	O	orange_b	1.000	1039	1
693	O	orange_b	1.000	8	0
694	O	orange_b	1.000	1039	1
695	O	orange_b	1.000	1387	1
696	O	orange_b	1.000	935	1
697	O	orange_b	1.000	453	1
698	O	orange_b	1.000	1380	1
699	O	orange_b	1.000	8	0
700	O	orange_b	1.000	1388	1
701	O	orange_b	1.000	816	1
702	O	orange_b	1.000	564	1
703	O	orange_b	1.000	1380	1
704	O	orange_b	1.000	350	0
705	O	orange_b	1.000	1007	1
706	O	orange_b	1.000	23	0
707	O	orange_b	1.000	1030	1
708	O	orange_b	1.000	2	0
709	O	orange_b	1.000	350	0
710	O	orange_b	1.000	8	0
711	O	orange_b	1.000	68	1
712	O	orange_b	1.000	962	1
713	O	orange_b	1.000	1030	1
714	O	orange_b	1.000	511	0
715	O	orange_b	1.000	527	1
716	O	orange_b	1.000	1038	1
717	O	orange_b	1.000	1241	1
718	O	orange_b	1.000	146	1
719	O	orange_b	1.000	1387	1
720	O	orange_b	1.000	1314	1
721	O	orange_b	1.000	73	1
722	O	orange_b	1.000	1387	1
723	O	orange_b	1.000	685	0
724	O	orange_b	1.000	702	1
725	O	orange_b	1.000	1387	1
726	O	orange_b	1.000	685	0
727	O	orange_b	1.000	702	1
728	O	orange_b	1.000	1387	1
729	O	orange_b	1.000	1381	1
730	O	orange_b	1.000	6	0
731	O	orange_b	1.000	1387	1
732	O	orange_b	1.000	1382	1
733	O	orange_b	1.000	5	0
734	O	orange_b	1.000	1387	1
735	O	orange_b	1.000	1368	1
736	O	orange_b	1.000	19	0
737	O	orange_b	1.000	1387	1
738	O	orange_b	1.000	1383	1
739	O	orange_b	1.000	4	0
740	O	orange_b	1.000	1387	1
741	O	orange_b	1.000	1090	1
742	O	orange_b	1.000	291	0
743	O	orange_b	1.000	6	0
744	O	orange_b	1.000	1387	1
745	O	orange_b	1.000	1022	1
746	O	orange_b	1.000	1016	1
747	O	orange_b	1.000	1381	1
748	O	orange_b	1.000	349	0
749	O	orange_b	1.000	1387	1
750	O	orange_b	1.000	1386	1
751	O	orange_b	1.000	1387	1
752	O	orange_b	1.000	29	0
753	O	orange_b	1.000	1358	1
754	O	orange_b	1.000	1387	1
755	O	orange_b	1.000	1365	1
756	O	orange_b	1.000	22	0
757	O	orange_b	1.000	1387	1
758	O	orange_b	1.000	112	0
759	O	orange_b	1.000	1275	1
760	O	orange_b	1.000	1387	1
761	O	orange_b	1.000	1386	1
762	O	orange_b	1.000	1	0
763	O	orange_b	1.000	1387	1
764	O	orange_b	1.000	1383	1
765	O	orange_b	1.000	4	0
766	O	orange_b	1.000	1387	1
767	O	orange_b	1.000	456	1
768	O	orange_b	1.000	1387	1
769	O	orange_b	1.000	1385	1
770	O	orange_b	1.000	318	0
771	O	orange_b	1.000	808	1
772	O	orange_b	1.000	819	1
773	O	orange_b	1.000	1006	1
774	O	orange_b	1.000	9	0
775	O	orange_b	1.000	1038	1
776	O	orange_b	1.000	1030	1
777	O	orange_b	1.000	8	0
778	O	orange_b	1.000	1387	1
779	O	orange_b	1.000	1314	1
780	O	orange_b	1.000	1387	1
781	O	orange_b	1.000	1384	1
782	O	orange_b	1.000	3	0
783	O	orange_b	1.000	1387	1
784	O	orange_b	1.000	923	1
785	O	orange_b	1.000	464	1
786	O	orange_b	1.000	1387	1
787	O	orange_b	1.000	1351	1
788	O	orange_b	1.000	32	0
789	O	orange_b	1.000	4	0
790	O	orange_b	1.000	1355	1
791	O	orange_b	1.000	1387	1
792	O	orange_b	1.000	1335	1
793	O	orange_b	1.000	52	1
794	O	orange_b	1.000	1387	1
795	O	orange_b	1.000	920	1
796	O	orange_b	1.000	467	1
797	O	orange_b	1.000	1387	1
798	O	orange_b	1.000	923	1
799	O	orange_b	1.000	464	1
800	O	orange_b	1.000	1387	1
801	O	orange_b	1.000	1386	1
802	O	orange_b	1.000	1	0
803	O	orange_b	1.000	1387	1
804	O	orange_b	1.000	1380	1
805	O	orange_b	1.000	923	1
806	O	orange_b	1.000	7	0
807	O	orange_b	1.000	464	1
808	O	orange_b	1.000	1383	1
809	O	orange_b	1.000	4	0
810	O	orange_b	1.000	1387	1
811	O	orange_b	1.000	108	0
812	O	orange_b	1.000	1279	1
813	O	orange_b	1.000	1387	1
814	O	orange_b	1.000	32	0
815	O	orange_b	1.000	1355	1
816	O	orange_b	1.000	291	0
817	O	orange_b	1.000	1192	1
818	O	orange_b	1.000	1386	1
819	O	orange_b	1.000	1	0
820	O	orange_b	1.000	1387	1
821	O	orange_b	1.000	1385	1
822	O	orange_b	1.000	2	0
823	O	orange_b	1.000	1387	1
824	O	orange_b	1.000	1386	1
825	O	orange_b	1.000	1	0
826	O	orange_b	1.000	1386	1
827	O	orange_b	1.000	1	0
828	O	orange_b	1.000	1387	1
829	O	orange_b	1.000	1362	1
830	O	orange_b	1.000	25	0
831	O	orange_b	1.000	1387	1
832	O	orange_b	1.000	38	0
833	O	orange_b	1.000	1349	1
834	O	orange_b	1.000	104	1
835	O	orange_b	1.000	1283	1
836	O	orange_b	1.000	1387	1
837	O	orange_b	1.000	1214	1
838	O	orange_b	1.000	173	1
839	O	orange_b	1.000	1387	1
840	O	orange_b	1.000	1316	1
841	O	orange_b	1.000	923	1
842	O	orange_b	1.000	71	1
843	O	orange_b	1.000	464	1
844	O	orange_b	1.000	1387	1
845	O	orange_b	1.000	650	0
846	O	orange_b	1.000	737	1
847	O	orange_b	1.000	1387	1
848	O	orange_b	1.000	1	0
849	O	orange_b	1.000	118	0
850	O	orange_b	1.000	778	0
851	O	orange_b	1.000	827	0
852	O	orange_b	1.000	1237	1
853	O	orange_b	1.000	1387	1
854	O	orange_b	1.000	2	0
855	O	orange_b	1.000	1385	1
856	O	orange_b	1.000	1386	1
857	O	orange_b	1.000	1	0
858	O	orange_b	1.000	1387	1
859	O	orange_b	1.000	887	1
860	O	orange_b	1.000	500	1
861	O	orange_b	1.000	1387	1
862	O	orange_b	1.000	1386	1
863	O	orange_b	1.000	1	0
864	O	orange_b	1.000	1387	1
865	O	orange_b	1.000	868	1
866	O	orange_b	1.000	519	1
867	O	orange_b	1.000	1387	1
868	O	orange_b	1.000	1385	1
869	O	orange_b	1.000	2	0
870	O	orange_b	1.000	1387	1
871	O	orange_b	1.000	1386	1
872	O	orange_b	1.000	1	0
873	O	orange_b	1.000	1387	1
874	O	orange_b	1.000	1385	1
875	O	orange_b	1.000	2	0
876	O	orange_b	1.000	1387	1
877	O	orange_b	1.000	1386	1
878	O	orange_b	1.000	1	0
879	O	orange_b	1.000	1385	1
880	O	orange_b	1.000	2	0
881	O	orange_b	1.000	1387	1
882	O	orange_b	1.000	112	1
883	O	orange_b	1.000	1275	1
884	O	orange_b	1.000	1387	1
885	O	orange_b	1.000	49	0
886	O	orange_b	1.000	1338	1
887	O	orange_b	1.000	1387	1
888	O	orange_b	1.000	1148	1
889	O	orange_b	1.000	239	1
890	O	orange_b	1.000	1387	1
891	O	orange_b	1.000	1010	1
892	O	orange_b	1.000	377	1
893	O	orange_b	1.000	1387	1
894	O	orange_b	1.000	109	0
895	O	orange_b	1.000	1278	1
896	O	orange_b	1.000	1387	1
897	O	orange_b	1.000	1386	1
898	O	orange_b	1.000	1	0
899	O	orange_b	1.000	1387	1
900	O	orange_b	1.000	1386	1
901	O	orange_b	1.000	1	0
902	O	orange_b	1.000	1387	1
903	O	orange_b	1.000	876	1
904	O	orange_b	1.000	511	1
905	O	orange_b	1.000	1387	1
906	O	orange_b	1.000	1386	1
907	O	orange_b	1.000	1	0
908	O	orange_b	1.000	1387	1
909	O	orange_b	1.000	1386	1
910	O	orange_b	1.000	1	0
911	O	orange_b	1.000	1387	1
912	O	orange_b	1.000	1098	1
913	O	orange_b	1.000	289	0
914	O	orange_b	1.000	1387	1
915	O	orange_b	1.000	1386	1
916	O	orange_b	1.000	1	0
917	O	orange_b	1.000	1	0
918	O	orange_b	1.000	1386	1
919	O	orange_b	1.000	1387	1
920	O	orange_b	1.000	1141	1
921	O	orange_b	1.000	235	0
922	O	orange_b	1.000	11	0
923	O	orange_b	1.000	1387	1
924	O	orange_b	1.000	1381	1
925	O	orange_b	1.000	6	0
926	O	orange_b	1.000	1387	1
927	O	orange_b	1.000	1386	1
928	O	orange_b	1.000	1	0
929	O	orange_b	1.000	1387	1
930	O	orange_b	1.000	1381	1
931	O	orange_b	1.000	6	0
932	O	orange_b	1.000	1387	1
933	O	orange_b	1.000	1386	1
934	O	orange_b	1.000	1	0
935	O	orange_b	1.000	1387	1
936	O	orange_b	1.000	1385	1
937	O	orange_b	1.000	2	0
938	O	orange_b	1.000	1387	1
939	O	orange_b	1.000	1373	1
940	O	orange_b	1.000	14	0
941	O	orange_b	1.000	1387	1
942	O	orange_b	1.000	1386	1
943	O	orange_b	1.000	1	0
944	O	orange_b	1.000	1387	1
945	O	orange_b	1.000	6	0
946	O	orange_b	1.000	1381	1
947	O	orange_b	1.000	1387	1
948	O	orange_b	1.000	1369	1
949	O	orange_b	1.000	18	0
950	O	orange_b	1.000	1387	1
951	O	orange_b	1.000	1383	1
952	O	orange_b	1.000	4	0
953	O	orange_b	1.000	1387	1
954	O	orange_b	1.000	1385	1
955	O	orange_b	1.000	2	0
956	O	orange_b	1.000	1387	1
957	O	orange_b	1.000	882	0
958	O	orange_b	1.000	1387	1
959	O	orange_b	1.000	1185	1
960	O	orange_b	1.000	202	1
961	O	orange_b	1.000	1387	1
962	O	orange_b	1.000	1385	1
963	O	orange_b	1.000	2	0
964	O	orange_b	1.000	1387	1
965	O	orange_b	1.000	1386	1
966	O	orange_b	1.000	1	0
967	O	orange_b	1.000	1387	1
968	O	orange_b	1.000	114	0
969	O	orange_b	1.000	1273	1
970	O	orange_b	1.000	1387	1
971	O	orange_b	1.000	1361	1
972	O	orange_b	1.000	1387	1
